type,chapter_number,section_number,section_title,subsection_title,TOC_page
Subsection,16,16.4,Psychology and Your Skill Set: Teamwork,Becoming a Team Player,523
Chapter Vignette,17,,Prosocial and Antisocial Behavior,What Does a Reformed Racist Look Like?,529
Section,17,17.1,Affiliation and Attraction,,530
Subsection,17,17.1,Affiliation and Attraction,Factors That Influence Attraction,530
Subsection,17,17.1,Affiliation and Attraction,How Relationships Deepen,531
Subsection,17,17.1,Affiliation and Attraction,Loving: Dating and Mating,532
Section,17,17.2,Prosocial Behavior: Helping Others,,535
Subsection,17,17.2,Prosocial Behavior: Helping Others,Three Motives for Prosocial Behavior,536
Subsection,17,17.2,Prosocial Behavior: Helping Others,Factors That Influence Helping,536
Section,17,17.3,"Antisocial Behavior: Aggression, Conflict, and Prejudice",,540
Subsection,17,17.3,"Antisocial Behavior: Aggression, Conflict, and Prejudice",Aggression,540
Subsection,17,17.3,"Antisocial Behavior: Aggression, Conflict, and Prejudice",Prejudice,542
Section,17,17.4,Psychology and Your Skill Set: Diversity and Inclusion,,549
Subsection,17,17.4,Psychology and Your Skill Set: Diversity and Inclusion,Tolerance and Acceptance,550
Subsection,17,17.4,Psychology and Your Skill Set: Diversity and Inclusion,Being Open to Openness,550
Chapter Vignette,18,,Applied Psychology,Psychology All Around Us,555
Section,18,18.1,Industrial/Organizational Psychology,,556
Subsection,18,18.1,Industrial/Organizational Psychology,Organizational Culture,556
Subsection,18,18.1,Industrial/Organizational Psychology,Personnel Psychology,557
Subsection,18,18.1,Industrial/Organizational Psychology,Job Satisfaction,559
Subsection,18,18.1,Industrial/Organizational Psychology,Leadership in Organizations,560
Section,18,18.2,Environmental Psychology,,563
Subsection,18,18.2,Environmental Psychology,Environmental Influences on Behavior,564
Subsection,18,18.2,Environmental Psychology,Human Influences on the Natural Environment,567
Subsection,18,18.2,Environmental Psychology,Conclusion,569
Section,18,18.3,"Legal, Community, and Sports Psychology",,570
Subsection,18,18.3,"Legal, Community, and Sports Psychology",Legal Psychology,570
Subsection,18,18.3,"Legal, Community, and Sports Psychology",Community Psychology,572
Subsection,18,18.3,"Legal, Community, and Sports Psychology",Sports Psychology,573
Section,18,18.4,Psychology and Your Skill Set: Career Preparation,,575
Subsection,18,18.4,Psychology and Your Skill Set: Career Preparation,Investigate Potential Career Paths Now,576
Subsection,18,18.4,Psychology and Your Skill Set: Career Preparation,Find Out About Necessary Skills,576
Subsection,18,18.4,Psychology and Your Skill Set: Career Preparation,Assess Your Current Skill Set and Your Characteristics,577
Subsection,18,18.4,Psychology and Your Skill Set: Career Preparation,Work to Develop and Document Necessary Skills,577
Subsection,18,18.4,Psychology and Your Skill Set: Career Preparation,Examine Your Digital Footprint,577
