#,chapter_number,chapter_title,section_number,section_title,lo_id,lo_title,lo_description,section_page_folio
1,I,Introduction,I.1,Why Study Psychology?,I.1.1,Explain how studying psychology will help you in your personal and professional life,"Two broad categories of learning relate to content (that is, the subject matter) and skills. Psychology students learn a variety of skills during their studies, including research skills, critical thinking skills, cultural awareness skills, communication skills, and personal skills. All of these can be useful at work or in your personal life. The study of psychology will also prepare you for many potentially rewarding careers. Some of those exist within the field of psychology, but the skills learned in a psychology degree can also be applied to a wide range of other career paths.",4
82,4,"Sensation, Attention, and Perception",4.7,Psychology and Your Skill Set: Effective Communication,4.7.3,Create a plan to improve your own communication with others,"Improve by mindful listening and self-awareness of cues; write/speak with clear, concrete wording; adapt style (power vs relationship focus, directness, pacing, use of jokes/questions/apologies) to the audience and context.",150
83,5,States of Consciousness,5.1,States of Consciousness—The Many Faces of Awareness,5.1.1,Define consciousness,"Consciousness is a core feature of mental life that includes sensations and perceptions of external events and self-awareness of internal events (thoughts, memories, feelings about experiences and the self).",160
84,5,States of Consciousness,5.1,States of Consciousness—The Many Faces of Awareness,5.1.2,Distinguish between disordered states of consciousness and altered states of consciousness,"Disordered states include comas and persistent vegetative states. Altered states involve changes in the quality and pattern of mental activity (e.g., perception, emotion, time sense) and are especially linked to sleep/dreaming, hypnosis, meditation, and psychoactive drugs; cultural norms shape which ASCs people recognize, seek, and consider normal.",160
85,5,States of Consciousness,5.2,Hypnosis and Meditation: Relax …,5.2.1,"Describe how hypnosis works, distinguishing between state and nonstate theories of hypnosis","Hypnosis is typically defined by narrowed attention, reduced peripheral awareness, and increased suggestibility (not sleep). Inductions focus attention, relaxation, acceptance of suggestions, and imagery; people feel actions are involuntary yet remain aware and in control. State theories posit a dissociative state with a “hidden observer”; nonstate theories view hypnosis as autosuggestion shaped by conformity, relaxation, imagination, obedience, and role-playing.",161
86,5,States of Consciousness,5.2,Hypnosis and Meditation: Relax …,5.2.2,"Describe how meditation works, distinguishing between mindfulness and concentrative meditation","Meditation is a mental exercise that elicits a relaxation response and can calm body/mind, clarify thinking, relieve some disorders, and improve self-awareness and creativity. Mindfulness involves nonjudgmental observation of thoughts and feelings; concentrative practice focuses attention on a specific target (e.g., word, mantra, breathing).",161
87,5,States of Consciousness,5.3,Sleep: The Nightly Roller Coaster,5.3.1,Describe the typical pattern of sleeping and waking,"Sleep–wake cycles follow a ~24-hour rhythm (drifting longer without normal light–dark cues). Most adults sleep about 7–8 hours, with individual variation and age-related shifts (older adults tend to sleep less).",165
88,5,States of Consciousness,5.3,Sleep: The Nightly Roller Coaster,5.3.2,"Describe NREM (non-REM) sleep, including its function and four stages","In NREM, brain waves lengthen/slow, pulse and temperature drop. Four stages range from light sleep (Stage 1) to deep sleep (Stage 4), with several cycles per night. NREM helps the body recover from fatigue and quiets the brain to begin memory consolidation.",165
89,5,States of Consciousness,5.3,Sleep: The Nightly Roller Coaster,5.3.3,Describe REM sleep and its function,"REM sleep features high emotion, aroused physiology, vivid dreaming, and sleep paralysis; it is important for completing memory consolidation.",165
90,5,States of Consciousness,5.3,Sleep: The Nightly Roller Coaster,5.3.4,"Explain why we need to sleep, and the consequences of not sleeping","Lower metabolism and brain activity during sleep conserve energy and may lengthen life. Moderate loss mainly harms vigilance and routine-task performance; deprivation can trigger involuntary microsleeps and, rarely, temporary sleep-deprivation psychosis.",165
91,5,States of Consciousness,5.3,Sleep: The Nightly Roller Coaster,5.3.5,Name and briefly describe the three theories of dreaming,"Freudian/psychodynamic: dreams express unconscious wishes, often symbolically. Activation–synthesis: dreams arise from random physiological activity. Neurocognitive: dreams are continuous with waking thoughts/emotions; most involve familiar settings, people, and actions.",165
92,5,States of Consciousness,5.3,Sleep: The Nightly Roller Coaster,5.3.6,Outline five sleep disorders,"Insomnia (difficulty initiating/maintaining sleep); disorders of arousal (sleepwalking, sleeptalking, sleepsex; NREM); sleep terrors (NREM) and nightmares (REM); sleep apnea (interrupted breathing; suspected contributor to SIDS); narcolepsy and cataplexy (sudden REM-like intrusions during wakefulness).",165
93,5,States of Consciousness,5.4,Drug-Altered Consciousness: The High and Low of It,5.4.1,"Explain the action of a psychoactive drug, and distinguish between recreational and instrumental drug use","Psychoactive drugs alter consciousness by affecting brain function and range from stimulants to depressants. Instrumental use targets a specific issue; recreational use seeks psychoactive effects and may be experimental, social-recreational, intensive, or compulsive (abuse is most linked to the latter two).",174
94,5,States of Consciousness,5.4,Drug-Altered Consciousness: The High and Low of It,5.4.2,Outline three reasons for drug abuse,"Abuse stems from coping motives, the brain’s reward effects of drugs, and dependency.",174
95,5,States of Consciousness,5.4,Drug-Altered Consciousness: The High and Low of It,5.4.3,Name five common stimulants,"Amphetamines (e.g., methamphetamine; prescription stimulants such as Adderall, Ritalin); cocaine; MDMA/ecstasy; caffeine; nicotine.",174
96,5,States of Consciousness,5.4,Drug-Altered Consciousness: The High and Low of It,5.4.4,Name five common depressants,"Opioids/narcotics (opium, heroin, morphine, codeine, oxycodone, methadone, fentanyl); barbiturates; GHB; tranquilizers (benzodiazepines such as Valium, Xanax); alcohol.",174
97,5,States of Consciousness,5.4,Drug-Altered Consciousness: The High and Low of It,5.4.5,Name two common hallucinogens,LSD/PCP; cannabis.,174
98,5,States of Consciousness,5.5,Psychology and Your Skill Set: Metacognition,5.5.1,"Define metacognition, and describe its three elements","Metacognition is thinking about one’s thinking, understanding, and performance; judgments are often poor. Three elements: knowledge (about skills, biases, strategies), monitoring (tracking/evaluating thoughts and behaviors), and control (adjusting thoughts/behaviors).",184
99,5,States of Consciousness,5.5,Psychology and Your Skill Set: Metacognition,5.5.2,Create a plan to improve your own metacognitive skills,"Build metacognitive knowledge, monitoring, and control for goals in personal/professional contexts (e.g., relationships, exam study, large projects), applying the three elements to improve awareness of skills and strategies.",184
100,6,Conditioning and Learning,6.1,The Basics of Learning,6.1.1,Define learning,Learning is a relatively permanent change in knowledge or behavior due to experience.,192
101,6,Conditioning and Learning,6.1,The Basics of Learning,6.1.2,Outline four types of learning,"Four types are classical conditioning, operant (instrumental) conditioning, observational learning, and cognitive learning.",192
102,6,Conditioning and Learning,6.1,The Basics of Learning,6.1.3,Define associative learning and identify two types of associative learning,Associative learning forms links between stimuli and/or behaviors; its two basic types are classical conditioning and operant conditioning.,192
103,6,Conditioning and Learning,6.2,Classical Conditioning: Pair Up!,6.2.1,Explain how classical conditioning works,"An unconditioned stimulus (US) naturally elicits an unconditioned response (UR). If a neutral stimulus (NS) is repeatedly paired with the US, it becomes a conditioned stimulus (CS) that elicits a conditioned response (CR).",192
104,6,Conditioning and Learning,6.2,Classical Conditioning: Pair Up!,6.2.2,Distinguish between extinction and spontaneous recovery,"Presenting the CS without the US weakens the CR (extinction). After a rest, the CR may reappear temporarily (spontaneous recovery).",192
105,6,Conditioning and Learning,6.2,Classical Conditioning: Pair Up!,6.2.3,Differentiate between stimulus generalization and stimulus discrimination in classical conditioning,Generalization: stimuli similar to the CS evoke the response. Discrimination: responding occurs to one stimulus but not to similar ones after learning.,192
106,6,Conditioning and Learning,6.2,Classical Conditioning: Pair Up!,6.2.4,Name four instances of classical conditioning in everyday life,"Food aversions; product endorsements via association; conditioned emotional responses (CERs); aversion therapy for habits (e.g., alcohol dependency).",192
107,6,Conditioning and Learning,6.3,Operant Conditioning: Shape Up!,6.3.1,"Explain how operant conditioning works, including how positive and negative reinforcement and punishment will impact the likelihood that a behavior will be repeated",A voluntary act followed by a reinforcer increases in frequency; a punisher decreases it. Both positive and negative reinforcement increase responding; positive and negative punishment decrease it.,197
108,6,Conditioning and Learning,6.3,Operant Conditioning: Shape Up!,6.3.2,Distinguish between generalization and discrimination in operant conditioning,Generalization: responses occur in the presence of stimuli similar to those preceding reinforcement. Discrimination: responses are given to discriminative stimuli signaling reinforcement and withheld otherwise.,197
109,6,Conditioning and Learning,6.3,Operant Conditioning: Shape Up!,6.3.3,Explain how shaping works,Successive approximations to a target behavior are reinforced until the full response pattern emerges.,197
110,6,Conditioning and Learning,6.3,Operant Conditioning: Shape Up!,6.3.4,Name three factors that impact the effectiveness of reinforcement and punishment,"Effectiveness depends on intensity, timing (closer is stronger), and consistency. Punishment works best when consistent; reinforcement effectiveness also depends on its schedule.",197
111,6,Conditioning and Learning,6.3,Operant Conditioning: Shape Up!,6.3.5,Differentiate between continuous and partial schedules of reinforcement and name the four types of partial schedules of reinforcement,"Continuous: reinforce every response (useful early). Partial: reinforce some responses (more resistant to extinction). Four partial schedules: fixed ratio, variable ratio, fixed interval, variable interval—each yields a distinct response pattern.",197
112,6,Conditioning and Learning,6.3,Operant Conditioning: Shape Up!,6.3.6,Contrast primary and secondary reinforcers,"Primary reinforcers are biologically based (“natural” rewards). Secondary (learned) reinforcers—e.g., tokens, money, social rewards—gain value by association, often via exchange for primary reinforcers.",197
113,6,Conditioning and Learning,6.3,Operant Conditioning: Shape Up!,6.3.7,Name two instances of operant conditioning in everyday life,Token economies; slot machines that use partial reinforcement schedules.,197
114,6,Conditioning and Learning,6.4,Observational Learning: Watch It!,6.4.1,Name the three steps involved in observational learning,"Attention to the model, retention (remembering), and reproduction (ability to imitate); observational learning transmits actions, attitudes, and emotional responses.",205
115,6,Conditioning and Learning,6.4,Observational Learning: Watch It!,6.4.2,Describe three characteristics of models we are most likely to imitate,"We attend more to admired, authoritative, or similar models. Learning can be unintended and may include antisocial behaviors.",205
116,6,Conditioning and Learning,6.4,Observational Learning: Watch It!,6.4.3,Explain the connection between observational learning and operant conditioning,Imitation depends on observed consequences for the model; vicarious reinforcement/punishment links observational learning to operant principles.,205
117,6,Conditioning and Learning,6.4,Observational Learning: Watch It!,6.4.4,Name two instances of observational learning in everyday life,"Workplace socialization (learning norms from coworkers); learning from media models (TV, Internet, video games).",205
118,6,Conditioning and Learning,6.4,Observational Learning: Watch It!,6.4.5,"Outline three reasons why exposure to violent media may be associated with later aggression among children and adolescents, and what the research actually says about this association","Potential mechanisms: learning new aggressive acts, disinhibition of control, desensitization. Early work linked violent games to aggression; newer research shows a more complex picture. Much early evidence was correlational, so causality is unclear.",205
119,6,Conditioning and Learning,6.5,Cognitive Learning: Think!,6.5.1,"Define cognitive learning, and name two groups of psychologists who are interested in cognitive learning","Cognitive learning uses thinking, memory, and problem solving to acquire skills/information; studied by school and educational psychologists.",210
120,6,Conditioning and Learning,6.5,Cognitive Learning: Think!,6.5.2,Outline the two main dimensions of Bloom’s taxonomy,"Knowledge types: factual, conceptual, procedural, metacognitive. Cognitive processes: remember, understand, apply, analyze, evaluate, create.",210
121,6,Conditioning and Learning,6.5,Cognitive Learning: Think!,6.5.3,Describe four factors that affect cognitive learning,"Influences include learner characteristics (working memory, diagnoses, persistence, motivation, self-efficacy, mindset—not learning styles), learning strategies (self-testing, metacognitive strategies), type of instruction (direct, discovery, guided discovery), and environment (feedback, technology).",210
122,6,Conditioning and Learning,6.5,Cognitive Learning: Think!,6.5.4,Name some instances of cognitive learning in everyday life,"Occurs during reading for pleasure, watching videos, and in everyday conversations, not just in school settings.",210
123,6,Conditioning and Learning,6.6,Psychology and Your Skill Set: Behavioral Self-Management,6.6.1,Name four strategies that can help you to change bad habits,Reinforce alternative responses; break response chains; avoid antecedent cues; use covert sensitization and covert reinforcement.,217
124,6,Conditioning and Learning,6.6,Psychology and Your Skill Set: Behavioral Self-Management,6.6.2,Distinguish between covert sensitization and covert reinforcement,Covert sensitization uses aversive imagery to reduce unwanted behavior; covert reinforcement uses mental rehearsal to strengthen desired responses.,217
125,6,Conditioning and Learning,6.6,Psychology and Your Skill Set: Behavioral Self-Management,6.6.3,Create a plan to change your own behavior,"Apply the above strategies to manage a chosen habit—plan supports, remove triggers, practice desired responses, and monitor progress.",217
126,7,Memory,7.1,A General Model of Memory,7.1.1,Define memory,"Memory is an active system that encodes, stores, and retrieves information.",226
127,7,Memory,7.1,A General Model of Memory,7.1.2,Describe the types of memory and memory processes that are outlined in the Atkinson-Shiffrin model of memory,"The model includes sensory memory, short-term/working memory, and long-term memory, each with increasing duration. Attention moves input from sensory to short-term memory; encoding transfers information to long-term memory; retrieval brings long-term information back into short-term memory.",226
128,7,Memory,7.2,Sensory and Short-Term (Working) Memory,7.2.1,"Describe sensory memory, including its capacity and duration","Sensory memory briefly holds raw input from the senses (e.g., iconic for vision, echoic for audition). Capacity is very large, but duration is ~2 seconds or less.",227
129,7,Memory,7.2,Sensory and Short-Term (Working) Memory,7.2.2,"Describe short-term (working) memory, including its capacity and duration","Short-term memory is a conscious “mental workbench.” Capacity was classically ~7±2 items but may be closer to ~4; duration is about a dozen seconds, extendable with maintenance rehearsal.",227
130,7,Memory,7.2,Sensory and Short-Term (Working) Memory,7.2.3,"Explain what is meant by “chunking,” and how it helps to expand the capacity of working memory","Chunking groups meaningfully related items into units, effectively increasing the amount of information that can be held in working memory.",227
131,7,Memory,7.2,Sensory and Short-Term (Working) Memory,7.2.4,Distinguish between rote rehearsal (rote learning) and elaborative rehearsal (elaborative encoding),Rote rehearsal is simple repetition; elaborative rehearsal links new material to existing long-term knowledge. Elaborative rehearsal is superior for transferring information to long-term memory.,227
132,7,Memory,7.3,Long-Term Memory,7.3.1,"Describe long-term memory, including its duration, capacity, and organization",Long-term memory is relatively permanent with seemingly vast capacity and is organized as a meaning-based network.,229
133,7,Memory,7.3,Long-Term Memory,7.3.2,"Define the terms retrieval cue and redintegration, and explain their relation to spreading activation in the memory network","Retrieval cues prompt access to stored information. Spreading activation links associated memories, enabling redintegration—reconstructing a whole memory from partial cues.",229
134,7,Memory,7.3,Long-Term Memory,7.3.3,Distinguish between implicit and explicit memory,"Implicit memory operates outside awareness (skills, conditioned responses, priming). Explicit memory is conscious knowledge of facts and personal experiences.",229
135,7,Memory,7.3,Long-Term Memory,7.3.4,Distinguish between episodic and semantic memory,Episodic memory stores autobiographical events; semantic memory stores general world knowledge independent of time and place learned.,229
136,7,Memory,7.3,Long-Term Memory,7.3.5,Name the parts of the brain that are important in memory,"Key structures: hippocampus (consolidation), cortex (long-term storage), basal ganglia and cerebellum (motor skill memory).",229
137,7,Memory,7.3,Long-Term Memory,7.3.6,Outline two reasons why it’s helpful to have information stored in long-term memory,"Retrieval from LTM is faster than repeatedly looking up information, and stored knowledge aids comprehension of new input, supporting further learning.",229
138,7,Memory,7.4,Remembering and Forgetting,7.4.1,Describe two factors that influence encoding and two factors that do not influence encoding,Encoding improves with emotion and depth of processing; intention to remember and mere repeated exposure do not reliably enhance encoding.,237
139,7,Memory,7.4,Remembering and Forgetting,7.4.2,Name three ways that we can measure memory,"Recall (no cues), recognition (identify among options), and relearning (savings score when material is learned again); these mainly assess explicit memory.",237
140,7,Memory,7.4,Remembering and Forgetting,7.4.3,Name five factors that contribute to forgetting,"Atypical brain function (e.g., dementia, amnesia), cue-dependent forgetting, state-dependent learning effects, interference (proactive and retroactive), and motivated forgetting.",237
141,7,Memory,7.4,Remembering and Forgetting,7.4.4,Distinguish between active and passive forgetting,Active forgetting is purposeful pruning to limit trivial memories; passive forgetting reflects decay from infrequent retrieval.,237
142,7,Memory,7.5,The Accuracy of Long-Term Memory,7.5.1,Explain the origins of false and inaccurate memories,"Memories are reconstructed on retrieval; gaps are unconsciously filled with expectations, beliefs, and stereotypes, producing confident yet inaccurate recollections.",245
143,7,Memory,7.5,The Accuracy of Long-Term Memory,7.5.2,Describe three factors that might improve confidence in eyewitness testimony,"Use improved lineup procedures, conduct cognitive interviews, and exclude memories that appear only under hypnosis.",245
144,7,Memory,7.6,Improving Your Memory,7.6.1,Name up to eight ways that could be helpful in ensuring that you will be able to encode and remember information,"Strategies include chunking, elaborative rehearsal, spaced practice, mental imagery, whole-over-part learning, leveraging serial position, overlearning, and mnemonic use.",249
145,7,Memory,7.6,Improving Your Memory,7.6.2,"Define mnemonics, and provide four examples of mnemonic devices","Mnemonics link new material to familiar memories using vivid associations and images. Examples include acrostics, the keyword method, story/chaining, and the method of loci.",249
146,7,Memory,7.7,Psychology and Your Skill Set: Giving Memorable Presentations,7.7.1,Define the multimedia principle,People learn more from words plus graphics than from words alone due to limited parallel processing capacity in auditory and visual channels.,252
147,7,Memory,7.7,Psychology and Your Skill Set: Giving Memorable Presentations,7.7.2,Create a plan that will make your multimedia presentation more memorable,"Select key information (eliminate distractions, highlight few main points, use headline-style slide text), organize as a clear structure/story using complementary audio-visual channels, and integrate by connecting new ideas to prior knowledge.",252
148,8,"Cognition, Language, and Creativity",8.1,"The Basic Units of Cognition: Mental Imagery, Concepts, and Language",8.1.1,Distinguish between experiential and reflective processing,"Experiential processing is fast, automatic, and outside awareness; reflective processing is effortful, conscious, and requires attention and concentration.",260
149,8,"Cognition, Language, and Creativity",8.1,"The Basic Units of Cognition: Mental Imagery, Concepts, and Language",8.1.2,Explain how imagery is used in thinking,"Mental images help plan, simulate, and remember. Visual imagery engages many of the same brain areas as vision; images are three-dimensional, can be rotated or resized, and kinesthetic images represent movements and actions.",260
150,8,"Cognition, Language, and Creativity",8.1,"The Basic Units of Cognition: Mental Imagery, Concepts, and Language",8.1.3,Explain how concepts are used in thinking,"Concepts categorize objects/events using rules (category boundaries) and prototypes (ideal models). Faulty concepts, such as stereotypes, can oversimplify thinking.",260
151,8,"Cognition, Language, and Creativity",8.1,"The Basic Units of Cognition: Mental Imagery, Concepts, and Language",8.1.4,Explain how language is used in thinking,"Language encodes experiences into symbols for manipulation in thought. The linguistic relativity hypothesis holds that language and thought influence each other. Meaning depends on grammar/syntax and semantics (context), with words carrying denotations and connotations. True languages (including ASL) are productive, enabling new ideas.",260
152,8,"Cognition, Language, and Creativity",8.2,Problem Solving,8.2.1,"Distinguish between four methods of problem solving: algorithms, understanding, heuristics, and insight","Algorithms are rule-based (inductive or deductive) and can be time-consuming; understanding starts with grasping general properties, then a functional solution; heuristics are shortcuts that narrow the search; insight reorganizes a problem for a sudden solution and involves selective encoding, selective combination, and selective comparison.",267
153,8,"Cognition, Language, and Creativity",8.2,Problem Solving,8.2.2,Outline the barriers that can interfere with problem solving,"Fixations (including functional fixedness), emotional blocks, cultural values, learned conventions, and perceptual habits can impede problem solving.",267
154,8,"Cognition, Language, and Creativity",8.2,Problem Solving,8.2.3,Compare the problem solving of experts and novices,"Experts produce higher-quality, faster solutions due to greater prior knowledge, focus on deep structure over surface features, and chunked knowledge in long-term memory that frees working memory for problem solving.",267
155,8,"Cognition, Language, and Creativity",8.3,"Intuition, Decision-Making, and Cognitive Biases",8.3.1,"Distinguish between four common biases that can lead to errors in decision-making: framing, availability, representativeness, and ignoring the odds",Framing: reacting to wording rather than fundamentals; availability: judging likelihood by ease of recall; representativeness: favoring options similar to known cases; ignoring the odds: neglecting base rates/probabilities.,273
156,8,"Cognition, Language, and Creativity",8.3,"Intuition, Decision-Making, and Cognitive Biases",8.3.2,Explain what is meant by choice overload,Having many options can overwhelm and prevent decisions—the paradox of choice—so more choice is not always beneficial.,273
157,8,"Cognition, Language, and Creativity",8.4,Creative Thinking,8.4.1,Describe the nature of creative thinking and how it is measured,"Creative thinking requires divergent thought marked by fluency, flexibility, and originality; creative people also engage in problem finding. Creativity is often measured with divergent-thinking tests (e.g., Unusual Uses, Consequences).",277
158,8,"Cognition, Language, and Creativity",8.4,Creative Thinking,8.4.2,Outline the five stages of creative problem solving,"Orientation, preparation, incubation, illumination, and verification.",277
159,8,"Cognition, Language, and Creativity",8.4,Creative Thinking,8.4.3,Describe five characteristics associated with a creative personality,Weak correlation with IQ; broad experiences and interests; openness to new experiences and questioning assumptions; enjoyment of abstract/symbolic thought; valuing independence and complexity.,277
160,8,"Cognition, Language, and Creativity",8.5,Psychology and Your Skill Set: Creativity and Innovation,8.5.1,Create a plan to enhance your creativity and innovation skills,"Boost creativity by making associations between unrelated ideas, asking good questions, seeking input from others, and engaging in observation and experimentation.",280
161,9,Intelligence,9.1,Defining Human Intelligence,9.1.1,Define what is meant by the g-factor in intelligence,"Intelligence is the general capacity (g-factor) to act purposefully, think rationally, and adapt to the environment; g includes fluid and crystallized intelligence.",288
162,9,Intelligence,9.1,Defining Human Intelligence,9.1.2,Describe some of the challenges associated with defining intelligence,"Challenges include deciding which aptitudes are central, accounting for cultural differences in what counts as “smart,” and recognizing many ways people show talent.",288
163,9,Intelligence,9.2,Measuring Intelligence,9.2.1,Name and describe four characteristics of a good psychometric test,"Good tests are reliable (consistent), valid (measure what they claim), objective (scored the same by different people), and standardized (uniform procedures and norms for interpretation).",290
164,9,Intelligence,9.2,Measuring Intelligence,9.2.2,Explain the need for “culture-fair” intelligence tests,"Early tests were biased against non-dominant cultural groups and the poor due to culture-bound questions and Euro-American scoring assumptions, motivating culture-fair approaches.",290
165,9,Intelligence,9.2,Measuring Intelligence,9.2.3,Explain the difference between general intelligence (g) and aptitude tests,"Aptitude tests (special or multiple) assess narrower capacities (e.g., music, interpersonal skills) than general intelligence tests; many “multiple intelligences” may reflect aptitudes rather than distinct intelligences.",290
166,9,Intelligence,9.2,Measuring Intelligence,9.2.4,"Name two well-established intelligence tests, and some of the main cognitive abilities that they test","Stanford–Binet Fifth Edition (SB5) and Wechsler scales (WAIS-IV; WISC-V) assess verbal and performance abilities, including working memory, quantitative reasoning, and visual-spatial processing.",290
167,9,Intelligence,9.2,Measuring Intelligence,9.2.5,"Explain how the results of intelligence tests are expressed, and how the scores are distributed in the population",IQ was defined as mental age/chronological age ×100; modern tests report deviation IQs. IQ scores approximate a normal distribution.,290
168,9,Intelligence,9.3,Intellectual Giftedness and Disability,9.3.1,"Outline how gifted individuals are identified, and the outcomes that are typically associated with giftedness","Gifted individuals typically score above 130 IQ; many need acceleration/enrichment. Outcomes tend to be positive in personal and professional life, though not perfectly so.",296
169,9,Intelligence,9.3,Intellectual Giftedness and Disability,9.3.2,"Outline how people with intellectual disabilities are identified, and the outcomes that are typically associated with this diagnosis","Intellectual disability involves IQ below 70 plus deficits in adaptive behavior. Classifications: mild (50–55 to 70), moderate (35–40 to 50–55), severe (20–25 to 35–40), profound (below 20–25). Educational success varies by level; adaptive skills support community contributions.",296
170,9,Intelligence,9.3,Intellectual Giftedness and Disability,9.3.3,"Outline some of the causes of intellectual disability, and name some of the resulting conditions","Causes include familial factors (limited stimulation, poverty, poor nutrition) and organic causes (~50%: birth injuries, fetal damage, metabolic/genetic issues); others are unknown. Conditions include Down syndrome, fragile X, PKU, microcephaly, hydrocephaly, and congenital hypothyroidism.",296
171,9,Intelligence,9.4,Genetic and Environmental Contributions to Intelligence,9.4.1,Describe the general results of research investigating the role of genes in intelligence,"Intelligence is partly heritable (~50% on average), with heritability rising into adulthood; many genes each contribute small effects. Possible mechanisms include larger frontal cortex, faster CNS responding, or better metacognitive control.",300
172,9,Intelligence,9.4,Genetic and Environmental Contributions to Intelligence,9.4.2,Describe the general results of research investigating the role of the environment in intelligence,"Adoption studies and the Flynn effect show environmental influence. Early childhood education often yields short-term IQ gains but longer-term benefits (e.g., higher graduation rates) likely via other traits that support persistence.",300
173,9,Intelligence,9.5,Thinking Ethically About Intelligence,9.5.1,Identify two problems associated with the claim that genetic differences between groups explain group-based differences in intelligence,"Genomic findings are based largely on people of European descent and may not generalize; race has been crudely measured, whereas ancestry provides a more precise genetic picture for future research.",305
174,9,Intelligence,9.5,Thinking Ethically About Intelligence,9.5.2,"Define artificial intelligence, and explain some of the ethical concerns raised by its use","AI systems perform tasks requiring human-like intelligence (e.g., expert systems, machine learning). Ethical issues include threats to privacy and risks of racial profiling.",305
175,9,Intelligence,9.6,Psychology and Your Skill Set: Emotional Intelligence,9.6.1,"Define emotional intelligence, including its four components","Emotional intelligence is recognizing/understanding emotions in self and others and managing them effectively; components are perceiving, using, understanding, and managing emotions.",308
176,9,Intelligence,9.6,Psychology and Your Skill Set: Emotional Intelligence,9.6.2,Create a plan to respond in more emotionally intelligent ways in your everyday life,"Apply the four components to guide behavior, relationships, health, and achievement by planning how to handle difficult emotions in daily situations.",308
177,10,Motivation and Emotion,10.1,The Basics of Motivation,10.1.1,"Explain the role played by needs, drives, responses, goals, and incentives in shaping our motives","Motives arouse, maintain, and guide behavior via a sequence: need → drive → goal → goal attainment (need reduction). Needs are internal deficiencies; drives are tension states that activate responses toward goals; incentives are rewards that can motivate behavior.",316
178,10,Motivation and Emotion,10.1,The Basics of Motivation,10.1.2,Distinguish between intrinsic and extrinsic motivation,"Self-determination theory highlights competence, autonomy, and relatedness as higher needs tied to intrinsic motivation (internally driven). Extrinsic motivation comes from external factors such as money, rewards, obligations, or approval.",316
179,10,Motivation and Emotion,10.1,The Basics of Motivation,10.1.3,Distinguish between Maslow’s basic needs and growth needs,Maslow’s hierarchy separates basic (prepotent) needs—survival and belonging/acceptance—from growth needs culminating in self-actualization (fulfilling potential).,316
180,10,Motivation and Emotion,10.1,The Basics of Motivation,10.1.4,"Distinguish between biological, stimulus, and learned motives","Biological motives support survival; stimulus motives reflect a need for stimulation; learned motives arise through socialization (e.g., need for power or achievement).",316
181,10,Motivation and Emotion,10.2,Biological Motives,10.2.1,"Explain what is meant by the term sex drive, and how hormones are related to the sex drive of human and nonhuman animals","The sex drive is motivation to engage in sexual behavior and is non-homeostatic. In many animals, estrogen strongly influences females; in humans, androgens (e.g., testosterone) affect men’s drive and, to a lesser extent, women’s.",319
182,10,Motivation and Emotion,10.2,Biological Motives,10.2.2,"Explain what is meant by the term circadian rhythms, and how these rhythms impact human sleep cycles","Circadian rhythms are cycles governed by the body’s internal clock. Earlier peaks align with early risers; later peaks with night owls. Travel across time zones, shift work, and all-nighters can disrupt sleep and circadian timing.",319
183,10,Motivation and Emotion,10.2,Biological Motives,10.2.3,"Outline why pain is considered an episodic drive, and how our responses to pain are shaped",Pain avoidance is an episodic drive triggered by bodily damage. Pain avoidance and tolerance are partly learned through cultural and social influences.,319
184,10,Motivation and Emotion,10.2,Biological Motives,10.2.4,"Distinguish between intracellular and extracellular thirst, and how each is best managed","Intracellular thirst follows salt intake drawing water out of cells and is best relieved by water. Extracellular thirst results from fluid loss (bleeding, sweating, vomiting, diarrhea) and is best relieved by fluids with salt and minerals (e.g., sports drinks).",319
185,10,Motivation and Emotion,10.2,Biological Motives,10.2.5,Outline the internal and external factors that impact hunger,"Hunger reflects set point, stomach fullness, blood sugar, liver metabolism, fat stores, and hypothalamic feeding/satiety systems sensitive to neural and chemical signals. External cues include food cues, variety, emotions, learned tastes/aversions, and cultural values.",319
186,10,Motivation and Emotion,10.2,Biological Motives,10.2.6,"Distinguish between anorexia nervosa and bulimia nervosa, and outline the causes of these eating disorders","Anorexia involves severe food restriction and weight loss despite hunger. Bulimia involves bingeing followed by purging (vomiting or laxatives). Both commonly involve conflicts about self-image, self-control, and anxiety.",319
187,10,Motivation and Emotion,10.3,Stimulus and Learned Motives,10.3.1,Explain the central idea that underlies arousal theory,Arousal theory proposes people seek an ideal level of bodily arousal; preferred stimulation levels vary across individuals.,327
188,10,Motivation and Emotion,10.3,Stimulus and Learned Motives,10.3.2,"Describe the relationship between arousal and performance, as outlined in the Yerkes-Dodson law","Performance is typically optimal at moderate arousal and depends on task difficulty: simple/well-practiced tasks tolerate high arousal; for harder or less-practiced tasks, an inverted-U relation holds with lower optimal arousal.",327
189,10,Motivation and Emotion,10.3,Stimulus and Learned Motives,10.3.3,Outline what is meant by the need for achievement (nAch) and need for power,Learned social motives such as nAch and the need for power concern our relations with others and develop through socialization and culture.,327
190,10,Motivation and Emotion,10.3,Stimulus and Learned Motives,10.3.4,Explain the central idea that underlies opponent-process theory,"Strong emotional reactions are followed by opposite emotional aftereffects when the stimulus ends; with repetition, the initial reaction weakens and the opposite reaction strengthens.",327
191,10,Motivation and Emotion,10.4,The Four Basic Aspects of Emotion,10.4.1,Outline the four basic aspects of an emotion,"Emotions involve experience (feelings), physiology, expression, and cognitions.",331
